epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.285,2.05578,3.30315,5.0218,1.60736,0,0.23317,0.1875,0.10942,0.04327,0.23317,0.1875,0.11046,0.04338,2.16321,6.40009,4.96311,1.74257,0,0.000663462,0.000663462,0.000663462
2,71.5301,2.11676,3.03209,3.44174,1.71384,0,0.30423,0.45833,0.24972,0.0953,0.3855,0.36806,0.26813,0.09733,2.07357,3.14852,3.46134,1.85951,0,0.00131696,0.00131696,0.00131696
3,99.5467,2.11759,2.97033,2.67635,1.68434,0,0.25692,0.24306,0.14869,0.04975,0.21222,0.17773,0.09885,0.03028,2.69282,5.18541,3.15313,1.92966,0,0.00195726,0.00195726,0.00195726
4,126.708,2.10697,2.97105,2.38862,1.69337,0,0.31939,0.17599,0.13332,0.05494,0.33199,0.18294,0.1409,0.05414,2.61172,3.83644,3.2845,1.99134,0,0.0019406,0.0019406,0.0019406
5,154.348,2.05278,2.79344,2.29998,1.64713,0,0.32811,0.27083,0.19669,0.08491,0.31623,0.26389,0.19237,0.08014,2.32636,3.31864,2.98711,2.008,0,0.0019208,0.0019208,0.0019208
6,181.848,2.00989,2.79661,2.09604,1.6709,0,0.5266,0.44032,0.47053,0.21201,0.54028,0.44444,0.47647,0.19571,1.91754,2.87551,2.08431,1.67126,0,0.001901,0.001901,0.001901
7,209.456,1.97074,2.71024,2.02996,1.59864,0,0.52065,0.46528,0.42394,0.19686,0.57163,0.49306,0.46858,0.20237,2.02647,2.92096,1.97841,1.68671,0,0.0018812,0.0018812,0.0018812
8,236.602,1.88331,2.70791,1.99076,1.54944,0,0.60528,0.48611,0.47941,0.21956,0.61467,0.5,0.50039,0.22097,2.00109,6.60703,2.0292,1.64593,0,0.0018614,0.0018614,0.0018614
9,264.138,1.8967,2.70125,1.94523,1.55771,0,0.52049,0.31944,0.35106,0.17599,0.53181,0.32639,0.35186,0.15759,1.98815,3.21973,2.45263,1.78581,0,0.0018416,0.0018416,0.0018416
10,291.507,1.83204,2.59262,1.93665,1.53429,0,0.47582,0.41667,0.42577,0.18385,0.51405,0.44813,0.45561,0.17767,2.01227,3.00557,2.2343,1.72768,0,0.0018218,0.0018218,0.0018218
11,318.939,1.87855,2.68154,1.91308,1.55026,0,0.6828,0.4375,0.49088,0.24001,0.66772,0.43056,0.4844,0.21766,1.87713,2.86187,2.22641,1.6036,0,0.001802,0.001802,0.001802
12,346.665,1.84671,2.58982,1.8003,1.51095,0,0.71434,0.53836,0.60071,0.26087,0.70839,0.54167,0.58487,0.25507,1.92139,2.76343,1.75535,1.60918,0,0.0017822,0.0017822,0.0017822
13,374.569,1.78827,2.49182,1.76025,1.49364,0,0.57945,0.5,0.52143,0.23175,0.63144,0.4375,0.49363,0.21558,1.87726,2.7839,1.85683,1.56918,0,0.0017624,0.0017624,0.0017624
14,402.671,1.8243,2.59953,1.81366,1.50108,0,0.52915,0.54167,0.51321,0.2536,0.52915,0.54167,0.52041,0.22999,1.78818,2.87585,1.77369,1.53954,0,0.0017426,0.0017426,0.0017426
15,428.544,1.76019,2.46098,1.68274,1.47138,0,0.38056,0.15278,0.15944,0.06249,0.41777,0.16667,0.18278,0.06909,2.31963,3.32286,3.45828,2.12153,0,0.0017228,0.0017228,0.0017228
16,456.165,1.72743,2.56393,1.72267,1.47981,0,0.61751,0.43056,0.4972,0.23481,0.60101,0.47917,0.50364,0.21674,1.84091,2.87545,2.07958,1.63159,0,0.001703,0.001703,0.001703
17,484.576,1.72321,2.53323,1.67059,1.45543,0,0.62587,0.57639,0.58229,0.27357,0.63464,0.58333,0.57618,0.25917,1.76639,2.72633,1.67094,1.52222,0,0.0016832,0.0016832,0.0016832
18,513.136,1.73282,2.45425,1.70599,1.47099,0,0.6728,0.55556,0.57965,0.29298,0.71266,0.56839,0.60779,0.26593,1.82757,2.89178,1.64065,1.58723,0,0.0016634,0.0016634,0.0016634
19,541.345,1.73002,2.38263,1.61966,1.45448,0,0.63278,0.40688,0.43779,0.20699,0.64101,0.40921,0.4511,0.19551,1.93146,2.97815,2.56139,1.66651,0,0.0016436,0.0016436,0.0016436
20,570.335,1.72557,2.41205,1.73346,1.46488,0,0.5859,0.59028,0.57181,0.28228,0.70544,0.58211,0.60431,0.28226,1.78804,2.65559,1.73679,1.53418,0,0.0016238,0.0016238,0.0016238
21,598.81,1.67055,2.40931,1.6156,1.42422,0,0.61751,0.58333,0.57126,0.28728,0.66071,0.5625,0.57747,0.26691,1.76124,2.64633,1.71323,1.49375,0,0.001604,0.001604,0.001604
22,627.386,1.6567,2.52076,1.62116,1.40648,0,0.57428,0.64583,0.57003,0.301,0.57143,0.625,0.55928,0.27329,1.64954,2.66948,1.69346,1.41223,0,0.0015842,0.0015842,0.0015842
23,655.079,1.68301,2.4033,1.65219,1.44137,0,0.53397,0.42361,0.44867,0.22013,0.60409,0.39583,0.44994,0.18643,1.8595,3.09109,2.34833,1.6632,0,0.0015644,0.0015644,0.0015644
24,682.529,1.60167,2.38452,1.58239,1.39171,0,0.6522,0.3125,0.34468,0.16422,0.67473,0.31944,0.3476,0.15302,1.91895,2.99932,2.88774,1.73806,0,0.0015446,0.0015446,0.0015446
25,709.986,1.6449,2.33387,1.60727,1.41273,0,0.46455,0.4375,0.38307,0.17973,0.46633,0.38889,0.37619,0.15522,1.97124,3.40073,2.32632,1.77294,0,0.0015248,0.0015248,0.0015248
26,737.501,1.7067,2.40451,1.62218,1.43645,0,0.53957,0.41667,0.42798,0.19582,0.54047,0.40972,0.41109,0.15176,2.12319,3.44905,2.13882,1.7554,0,0.001505,0.001505,0.001505
27,764.631,1.68143,2.41166,1.60749,1.42482,0,0.7176,0.52083,0.60049,0.31105,0.71168,0.52778,0.60907,0.26277,1.70037,2.80892,1.69952,1.46399,0,0.0014852,0.0014852,0.0014852
28,791.979,1.64275,2.36644,1.54319,1.41793,0,0.65669,0.50694,0.54816,0.25716,0.65268,0.50694,0.55897,0.24605,1.81031,2.73468,1.99272,1.5599,0,0.0014654,0.0014654,0.0014654
29,819.432,1.65377,2.39961,1.55416,1.4246,0,0.6971,0.59722,0.65893,0.32792,0.69991,0.60417,0.65803,0.30071,1.78152,2.61545,1.5389,1.54213,0,0.0014456,0.0014456,0.0014456
30,847.838,1.60698,2.29863,1.62133,1.42074,0,0.78493,0.57639,0.64437,0.33558,0.79439,0.58333,0.64053,0.3146,1.67754,2.54404,1.54424,1.47739,0,0.0014258,0.0014258,0.0014258
31,875.951,1.53027,2.28177,1.41266,1.3494,0,0.82326,0.53472,0.67446,0.33834,0.8283,0.54861,0.67659,0.33577,1.80593,2.60268,1.4719,1.54001,0,0.001406,0.001406,0.001406
32,903.407,1.56862,2.28293,1.60208,1.36125,0,0.75485,0.51389,0.58769,0.31115,0.73313,0.53416,0.60434,0.29036,1.74057,2.60653,1.59587,1.50645,0,0.0013862,0.0013862,0.0013862
33,930.816,1.61763,2.30573,1.50162,1.37935,0,0.68753,0.59028,0.64468,0.32532,0.69562,0.59722,0.63181,0.30079,1.66128,2.5463,1.53813,1.44751,0,0.0013664,0.0013664,0.0013664
34,958.06,1.60295,2.26539,1.50238,1.3699,0,0.72633,0.60825,0.6828,0.37067,0.73463,0.61519,0.69127,0.33733,1.64335,2.52627,1.43672,1.4415,0,0.0013466,0.0013466,0.0013466
35,985.582,1.57484,2.25374,1.43301,1.38036,0,0.70781,0.53472,0.59631,0.31559,0.69673,0.53472,0.5862,0.28951,1.73926,2.77771,1.63898,1.51596,0,0.0013268,0.0013268,0.0013268
36,1012.95,1.59521,2.252,1.47258,1.38127,0,0.67367,0.5625,0.61415,0.3178,0.70574,0.58333,0.64665,0.31316,1.68154,2.56296,1.53311,1.4351,0,0.001307,0.001307,0.001307
37,1039.94,1.58428,2.26452,1.46036,1.3723,0,0.77127,0.5,0.61917,0.30581,0.75162,0.50694,0.61305,0.29672,1.78891,2.61776,1.6807,1.57234,0,0.0012872,0.0012872,0.0012872
38,1067.54,1.58016,2.23623,1.47831,1.37383,0,0.67917,0.40972,0.49252,0.24676,0.68963,0.4012,0.48503,0.21708,1.88061,2.91479,2.03668,1.60792,0,0.0012674,0.0012674,0.0012674
39,1095.78,1.58702,2.27324,1.45436,1.39861,0,0.57738,0.55556,0.5139,0.24672,0.57407,0.5625,0.4959,0.20378,1.93963,3.02663,1.98637,1.7496,0,0.0012476,0.0012476,0.0012476
40,1124.25,1.51575,2.18946,1.45161,1.32939,0,0.70546,0.6487,0.69372,0.37691,0.67555,0.63622,0.68701,0.34384,1.59492,2.44805,1.43017,1.43418,0,0.0012278,0.0012278,0.0012278
41,1151.54,1.47616,2.14806,1.41071,1.3106,0,0.6655,0.58333,0.62129,0.32639,0.67887,0.58333,0.63196,0.31288,1.69732,2.5361,1.4737,1.49363,0,0.001208,0.001208,0.001208
42,1178.74,1.54859,2.24834,1.39637,1.35864,0,0.64961,0.43056,0.45198,0.21424,0.62866,0.41667,0.44413,0.19989,2.00552,2.98136,2.29395,1.70267,0,0.0011882,0.0011882,0.0011882
43,1206.22,1.5023,2.21763,1.4144,1.33519,0,0.41,0.09722,0.10855,0.05756,0.32214,0.07639,0.09364,0.05062,2.18133,3.34771,3.47462,2.00489,0,0.0011684,0.0011684,0.0011684
44,1233.54,1.51189,2.17947,1.3531,1.31258,0,0.67274,0.61111,0.64947,0.34169,0.68039,0.61806,0.64138,0.33186,1.67115,2.47475,1.42437,1.44895,0,0.0011486,0.0011486,0.0011486
45,1260.51,1.50958,2.2436,1.40799,1.31782,0,0.75602,0.55949,0.64429,0.3353,0.7262,0.54167,0.61856,0.29218,1.68066,2.81486,1.6523,1.50068,0,0.0011288,0.0011288,0.0011288
46,1288.59,1.54037,2.21154,1.4047,1.36153,0,0.71859,0.63839,0.66688,0.38022,0.71438,0.64268,0.6721,0.33623,1.56455,2.41311,1.41846,1.41031,0,0.001109,0.001109,0.001109
